Query Term,Normalized Query Term,Tweet ID
Аsshole,asshole,1603075902178467841
Аsshole,asshole,1602753616745570310
Аsshole,asshole,1602399339082813441
Аsshole,asshole,1602011397742891011
Аsshole,asshole,1601995858811174913
Аsshole,asshole,1601431338464473088
Аsshole,asshole,1600232195280363521
Аsshole,asshole,1599943874767515648
Аsshole,asshole,1599909486143377408
Аsshole,asshole,1599844856888598531
Аsshole,asshole,1599598382539939840
Аsshole,asshole,1599509470316412928
Аsshole,asshole,1598073533770629120
Аsshole,asshole,1597998415270776833
Аsshole,asshole,1597998408525963265
Аsshole,asshole,1597698453882040320
Аsshole,asshole,1597554265731477504
Аsshole,asshole,1597249328128888835
Аsshole,asshole,1597181535505231875
Аsshole,asshole,1596653266326224897
Аsshole,asshole,1593680286201659396
Аsshole,asshole,1592953871910871040
Аsshole,asshole,1592053278749396992
Аsshole,asshole,1591849470157008897
Аsshole,asshole,1591363406497402881
Аsshole,asshole,1590485334118522880
Аsshole,asshole,1590067002475175936
Аsshole,asshole,1589263184590143489
Аsshole,asshole,1588413851984228352
Аsshole,asshole,1588403108304293889
Аsshole,asshole,1587926680852582400
Аsshole,asshole,1587821344103829504
Аsshole,asshole,1587756202875838464
Аsshole,asshole,1586765937423912963
Аsshole,asshole,1586599314863841280
Аsshole,asshole,1585250497337782272
Аsshole,asshole,1585003920589398016
Аsshole,asshole,1583990077859934208
Аsshole,asshole,1583142424699756546
Аsshole,asshole,1583106251252461571
Аsshole,asshole,1583103482177155072
Аsshole,asshole,1583092896265572352
Аsshole,asshole,1581760979100389376
Аsshole,asshole,1581682353876791297
Аsshole,asshole,1580899197372444672
Аsshole,asshole,1580885397390835712
Аsshole,asshole,1580501904940879872
Аsshole,asshole,1580334113747513345
Аsshole,asshole,1579939820352462848
Аsshole,asshole,1579632472836706304
Аsshole,asshole,1579034235037691905
Аsshole,asshole,1577749381419352085
Аsshole,asshole,1577361512187969541
Аsshole,asshole,1576349430022049792
Аsshole,asshole,1575578606151290880
Аsshole,asshole,1575018498207588354
Аsshole,asshole,1574936760337199104
Аsshole,asshole,1574504336280936460
Аsshole,asshole,1573173600429178881
Аsshole,asshole,1572658178386718722
Аsshole,asshole,1572551552182915074
Аsshole,asshole,1572140290550517760
Аsshole,asshole,1571794588326658048
Аsshole,asshole,1571677178508546049
Аsshole,asshole,1570975867005968384
Аsshole,asshole,1570825322022727680
Аsshole,asshole,1570217701179789313
Аsshole,asshole,1569472443156242434
Аsshole,asshole,1568048647358627840
Аsshole,asshole,1567647551079194625
Аsshole,asshole,1567159630165327872
Аsshole,asshole,1566151477315321856
Аsshole,asshole,1565171841890672640
Аsshole,asshole,1564022233143599111
Аsshole,asshole,1561183743188025344
Аsshole,asshole,1561179510560653312
Аsshole,asshole,1561171134002987008
Аsshole,asshole,1560258604262838278
Аsshole,asshole,1560054735213920256
Аsshole,asshole,1558591854689636353
Аsshole,asshole,1555959742895632384
Аsshole,asshole,1555836697258196998
Аsshole,asshole,1555799014221692928
Аsshole,asshole,1555347757996597249
Аsshole,asshole,1553138773516587008
Аsshole,asshole,1549904120118738944
Аsshole,asshole,1549615739098759169
Аsshole,asshole,1549551311921848321
Аsshole,asshole,1548761808076525571
Аsshole,asshole,1546338489968594944
Аsshole,asshole,1545846103937015809
Аsshole,asshole,1545358707973918721
Аsshole,asshole,1544860029475586048
Аsshole,asshole,1543921219850084352
Аsshole,asshole,1543314262403256320
Аsshole,asshole,1542619436263374850
Аsshole,asshole,1541354311774502913
Аsshole,asshole,1541151086769278976
Аsshole,asshole,1540456729594454016
Аsshole,asshole,1539403633678221314
Аsshole,asshole,1538532390636818435
Аsshole,asshole,1538064997988941826
